,property_type,region,area_m2,country,state,city,lat,lon,price_brl,has_city,has_geo,area_missing_flag,geo_resolution,price_per_m2_raw,area_m2_group_median_x,area_m2_imputed,area_imputed_flag,price_per_m2,area_m2_group_median_y,area_m2_group_median
95,apartment,Northeast,133.0,Brasil,Bahia,Salvador,,,1300561.65,1,0,0,2,9778.65902255639,103.0,133.0,0,9778.65902255639,103.0,103.0
96,apartment,Northeast,133.0,Brasil,Bahia,Salvador,-12.984901,-38.439594,1335765.75,1,1,0,2,10043.351503759399,103.0,133.0,0,10043.351503759399,103.0,103.0
97,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.994164,-38.518372,829743.15,1,1,0,2,10917.67302631579,103.0,76.0,0,10917.67302631579,103.0,103.0
98,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.994164,-38.518372,867830.6,1,1,0,2,11418.823684210525,103.0,76.0,0,11418.823684210525,103.0,103.0
99,house,Northeast,110.0,Brasil,Bahia,Salvador,,,421269.4,1,0,0,2,3829.7218181818184,170.0,110.0,0,3829.7218181818184,170.0,170.0
100,apartment,Northeast,100.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,405666.85,1,1,0,2,4056.6684999999998,103.0,100.0,0,4056.6684999999998,103.0,103.0
101,house,Northeast,120.0,Brasil,Bahia,Lauro de Freitas,,,655307.95,1,0,0,2,5460.899583333333,170.0,120.0,0,5460.899583333333,170.0,170.0
102,apartment,Northeast,127.0,Brasil,Bahia,Salvador,,,936154.25,1,0,0,2,7371.293307086614,103.0,127.0,0,7371.293307086614,103.0,103.0
103,house,Northeast,240.0,Brasil,Bahia,Salvador,,,667790.05,1,0,0,2,2782.458541666667,170.0,240.0,0,2782.458541666667,170.0,170.0
104,apartment,Northeast,66.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,655307.95,1,1,0,2,9928.908333333333,103.0,66.0,0,9928.908333333333,103.0,103.0
105,apartment,Northeast,93.0,Brasil,Bahia,Salvador,-12.981397,-38.441444,546089.9500000001,1,1,0,2,5871.93494623656,103.0,93.0,0,5871.93494623656,103.0,103.0
106,house,Northeast,120.0,Brasil,Bahia,Saubara,-12.7732,-38.789162,405666.85,1,1,0,2,3380.557083333333,170.0,120.0,0,3380.557083333333,170.0,170.0
107,apartment,Northeast,110.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,561692.5499999999,1,1,0,2,5106.295909090908,103.0,110.0,0,5106.295909090908,103.0,103.0
108,house,Northeast,151.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,592897.7,1,1,0,2,3926.474834437086,170.0,151.0,0,3926.474834437086,170.0,170.0
109,apartment,Northeast,85.0,Brasil,Bahia,Salvador,-12.938337,-38.362667,452474.55000000005,1,1,0,2,5323.2300000000005,103.0,85.0,0,5323.2300000000005,103.0,103.0
110,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,764525.95,1,1,0,2,6648.051739130435,103.0,115.0,0,6648.051739130435,103.0,103.0
111,apartment,Northeast,58.0,Brasil,Bahia,Salvador,-13.001169,-38.49419,546089.9500000001,1,1,0,2,9415.343965517242,103.0,58.0,0,9415.343965517242,103.0,103.0
112,apartment,Northeast,191.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1037570.95,1,1,0,2,5432.308638743455,103.0,191.0,0,5432.308638743455,103.0,103.0
113,apartment,Northeast,61.0,Brasil,Bahia,Salvador,,,580103.6,1,0,0,2,9509.895081967214,103.0,61.0,0,9509.895081967214,103.0,103.0
114,house,Northeast,244.0,Brasil,Bahia,Salvador,,,1965923.95,1,0,0,2,8057.065368852459,170.0,244.0,0,8057.065368852459,170.0,170.0
115,apartment,Northeast,170.0,Brasil,Bahia,Salvador,-12.958966,-38.405651,1014167.1000000001,1,1,0,2,5965.688823529413,103.0,170.0,0,5965.688823529413,103.0,103.0
116,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.9349962,-38.3576186,1078239.05,1,1,0,2,16093.120149253731,103.0,67.0,0,16093.120149253731,103.0,103.0
117,apartment,Northeast,185.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,694314.4,1,1,0,2,3753.050810810811,103.0,185.0,0,3753.050810810811,103.0,103.0
118,apartment,Northeast,56.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,405666.85,1,1,0,2,7244.050892857143,103.0,56.0,0,7244.050892857143,103.0,103.0
119,apartment,Northeast,80.0,Brasil,Bahia,Salvador,,,592897.7,1,0,0,2,7411.22125,103.0,80.0,0,7411.22125,103.0,103.0
120,apartment,Northeast,95.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,546089.9500000001,1,1,0,2,5748.315263157895,103.0,95.0,0,5748.315263157895,103.0,103.0
121,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.996323,-38.481049,561692.5499999999,1,1,0,2,4680.77125,103.0,120.0,0,4680.77125,103.0,103.0
122,apartment,Northeast,110.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,561692.5499999999,1,1,0,2,5106.295909090908,103.0,110.0,0,5106.295909090908,103.0,103.0
123,apartment,Northeast,110.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,592897.7,1,1,0,2,5389.979090909091,103.0,110.0,0,5389.979090909091,103.0,103.0
124,apartment,Northeast,114.0,Brasil,Bahia,Salvador,-13.002217,-38.516796,1209199.25,1,1,0,2,10607.01096491228,103.0,114.0,0,10607.01096491228,103.0,103.0
125,apartment,Northeast,98.0,Brasil,Bahia,Salvador,-13.002217,-38.516796,778568.3,1,1,0,2,7944.574489795918,103.0,98.0,0,7944.574489795918,103.0,103.0
126,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,670598.5,1,1,0,2,8079.5,103.0,83.0,0,8079.5,103.0,103.0
127,apartment,Northeast,102.0,Brasil,Bahia,Salvador,-13.007612,-38.49474,952536.9500000001,1,1,0,2,9338.597549019609,103.0,102.0,0,9338.597549019609,103.0,103.0
128,apartment,Northeast,63.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,982961.9500000001,1,1,0,2,15602.570634920636,103.0,63.0,0,15602.570634920636,103.0,103.0
129,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,499282.25,1,1,0,2,6241.028125,103.0,80.0,0,6241.028125,103.0,103.0
